,아이디,댓글 내용
0,@user-rk7oy9is4h,강바오님 정년퇴직 하시더라도 그 후에 동물원 한바퀴 처럼 갖고계신 지식 이렇게 공유해주시면 좋을것 같아요!(유튜브 개인채널이나 에버랜드 일잘하면 알아서 모셔가실듯) 따듯하고 정감있는 보이스 매력 못잃어!! 오랑우탄도 사육하신 경험있으셔서 예쁜 포인트 잘아시는듯 감탄하시네요!! 앞으로도 저희가 미처 모르는 동물들 매력 찾아서 알려주세요~
1,@user-il1mr6dn2p,"강바오님,,사육사계의 백종원,,오은영,,"
2,@spnamuamitabul,강철원사육사님이 다른 동물친구들 소개해주셔서 넘 좋아요~ 역시 푸바오 할부지♡♡
3,@StellaChoi952,우리 강바오님 정말 인품 ️🫶덕분에 뽀미와 레시에 관해서 하나 더 얻어가고 알아가요 🫶우리 푸바오 독립도 늘 응원해 ️다음주에 만나 바오가족 🫶
4,@user-oj8en4gp8h,강철원 사육사님 아이들 동화책이나  위인전 등의 책 읽어주는 직업도 잘 어울리실거같아요
5,@ysc8143,사육사분들이 이렇게 자주 설명해주시면 좋겠어요 ^^뭔가 좀 더 집중되네요~
6,@krasu7282,사육사님이 설명해주는거 너무 좋아요. 목소리가 친근해서 동물들한테 더 관심갖게 되네요
7,@swjhllllv,역시 강바오님️뽀미를 보니유퀴즈 출연 하셨을때 오랑우탄 돌보셨던 이야기가 생각나서 다시보고 왔어요다수의 수다도 다시!ㅋㅋ동물친구들 이야기 들려주시는 거 너무 좋네요~
8,@user-ob5nw8np4q,썸네일 부터 제목까지 기획하신분 넘나 멋쟁이~
9,@user-kg9vp9gm7d,더 듣고 싶어요 강할부지 꿀바른 목소리가 너무 친근~안심되는 효과는 사람도 똑같나봐요 동물 친구들과 대화가 되는 분 그래서 더 신기하고 감동스럽습니다 늘 건강 조심하시고 오래오래 잘 부탁드립니다
10,@twojae460,강바오님이 설명 해 주시니 더 친근하게 다가오는 거 같아요뽀미 사람이 보기에는 위험 해 보이지만 뽀미는 편안한 거 겠죠 레시 얼굴 좀 보여주지 대나무 먹느라 꼬리만 보여주네요 탐스런 꼬리 보여줘서 고마워 레시야강바오님 담에는 어떤 동물 소개 해 주실지 기대가 됩니다^^
11,@ailefubao2020,믿고 보는 강바오님 영상~~!! 강바오님 썸네일만 봐도 반가워요~~
12,@user-en1gj7yh3w,강하부지 동물 박사님 진짜 우리 강하부지는 말모 말모 최고
13,@user-jl5ge6vn1l,이웃과 사이 좋은 모습 좋은데요 ㅎㅎ 전지적 옆집 시점도 너무 재밌어요^^
14,@taeyeonkim321,전지적 옆집 시점도 언제나 기대돼요!옆집 동물들에 대해서 소개해주시고 사육사님들과 이야기를 나눠주셔도 좋을 것 같아요
15,@Vnyang777,"강바오님 팬이에요.. 이것두 나중에 풀영상으로 보고싶네요!! 순수한 동물들과,, 동물들을 사랑하는 강바오님의 만남은 완전 힐링"
16,@krystalmini,우리 강바오 목소리만 들어도 너무 편안해지고 ~ 🫶🫶🫶
17,@ik6942,뽀미가 강사육사님말에 반응하는게 ㅡ 되게 신기해요 
18,@user-rf2dh9le3s,뽀미 할부지가 말씀하실때 안움직이고 가만듣고잇다가 말씀끝나니까 움직이는거 넘신기하네요~~~
19,@user-ec2gh2fe6w,뽀미 아주 예쁘게 생겼어요ㅎㅎ
20,@user-uf8py7cg6e,강바오 목소리가 편안하네요.동물진심으로 사랑하는 모습을보니 멋지네요
21,@ddubear,전지적옆집시점!!!!좋아요 뽀~~미 부르니 뽀미둥절 ㅋㅋㅋ레시는 대나무굴에서 얼굴을 안보여주네요 ㅋㅋㅋㅋㅋㅋㅋㅋ
22,@lawjef,"You know you have seen waaaaaaay too many FuBao videos, when you can recognize this video narrator just by his voice. Keep up the good work!"
23,@ana98076,i seriously just love watching grandpa kang interacting with other animals
24,@user-nr1zz4vz6c,우아 푸바오 큰할부지다 
25,@chestnut0914,뽀미 자세가 정말 멋지네 
26,@evasolo96,강바오님은 모든 동물들의 영원한아빠인거같다.~
27,@user-rv7mz8bo3i,강바오님은 뿌빠 동물들의 할부지죠 ^^
28,@shiningjyh,ㅋㅋㅋ 레시 결국 얼굴 한번 안 보여줬엌ㅋㅋㅋ 레시 레몬이 2세도 얼른 보고 싶네요.
29,@user-ce3fp4ug6k,"더운데 잘놀구 있넹~오라무탕,헬시~"
30,@user-qy4tu9nk2f,강바오님 정말 모든 동물들을 이뻐하시는구나 따뜻스윗
31,@just3480,"강바오님 동물친구들 보면  ""이뻐 이뻐"" 라고 말씀하시는게  항상 마음에  와닿고  감동을 받습니다!!  보고있으면 정말로  너무 이뻐 보이는 매직~"
32,@ffil7656,뽀미팔근육 장난아니네요
33,@nhmh047,강바오님 목소리들으니 편안 ㅎㅎ^^
34,@fubao-0720zinibao,뽀미~ 안녕 에버랜드가게되면 뽀미도 만나러가야겠네용 ㅎㅎㅎ 레시는 강할부지 아웃오브안중이네요 ㅋㅋㅋ귀여운꼬랑지만 나와서 아숩 
35,@user-gb5zg7fo6e,전옆시 점점 너무 기대되구 사랑스런 동물 알려주셔서 감사해요
36,@prettygirl8739,강바오님이  존경받을  수  밖에  없는  이유:모든  동물은  가족이다걍  말이  필요없습니다...존경  그  이상의  어휘를  찾아  주세요
37,@No-we2ml,뽀미 팔 겁나 기네요 ㅋㅋㅋ 우왕
38,@user-nz2vm1gj1v,강바오 그저 빛️
39,@user-kd8ry4ry1b,"강바오님이 다른동물 설명해 주시니까 ,,, 다른 동물을 알아가는 흥미로움이 생기네요"
40,@jslvyo,강바오님 목소리만들어두 마음이편해집니다
41,@ffil7656,강바오님 중계최고️️
42,@user-wi6ds5hb7k,마실 나온 할부지
43,@user-tl4rd9xj4w,레시 너무 귀염.레몬이랑 아직도 진행중이라던데 좋은 소식 기대합니다.
44,@user-wc5jq5re7k,하부지.....the love...
45,@ejpark310,강바오 님이  동물원  곳곳에  있는  친구들  소개시켜주시는거  너무 좋아요  ~ 강바오님의  와우 wow 감탄사  넘  듣기 좋다는
46,@user-vv4vi6wu9c,푸바오네 강할부지  목소리가 정겹네요 요즘 푸바오 보는 맛에 살고 있어요목소리만 들어도 좋네요
47,@user-ud8kd1xx1j,높이가 아찔하네요 ㅋㅋ 귀여워요 ㅋㅋ
48,@ddoing-oing,결국... 귀요미 레시는 얼굴 안보여준 ㅋㅋㅋㅋㅋ
49,@ch.ten.9061,ㅋㅋ 동물 한 바퀴 ㅋㅋ 세계관 확장 좋아요. 오늘 건 파이럿이죠?  정규편성 ㄱㄱㄱ
50,@roach5287,강바오님  늘 응원합니다  아이바오보면  시집가기 싫어오 ㅋㅋㅋㅋ 
51,@punding,"뽀미의 갈라쇼, 레시의 동굴쇼, 강바오님의 휘파람쇼! +ㅁ+"
52,@diary7870,강바오님 나오신건 다 보고 싶어유
53,@minglovebao,강바오님 썸네일 최고! 완전 멋지세요 역시~~~~~~
54,@user-vn7xu7gi1h,사육사님 티비 많이 나와주셔요
55,@RJ-bb7gf,설명해주시니 더 재밋습니다~^^
56,@user-dw5bp9di5j,강바오님 덕분에 뿌빠에 빠졌다고해도 과언이 아님..🫶
57,@diary7870,우아 뽀미가 진짜 인사도하나요?
58,@user-qf9ke1nw8z,말고 다른 동물들도 잘 아시네요 
59,@bellechow1267,"바오 할아버지, 푸바오 말고 몇 마리나 키우세요? 너도 다른 동물들 때문에 바빠 보여 하하, 하지만 건강 잘 챙기고 건강해. ️️️"
60,@mvk4763,"천재 뿌빠님~ 강바오의 동물 한바퀴에 이마를 탁 치고 갑니다!! 너무 기가막힌 썸네일이네여ㅋㅋㅋㅋㅋ 푸바오 할아버지가 소개해주시니 너무 색다르고 신기해요~ 오랑우탄 친구들도 단독 생활을 하는 친구들인가용? 판다월드 옆집에 사는 황금원숭이들은 여러마리들이 모여살고 있었던 것 같아서 문득 궁금하네용 강바오님이 소개해주시니까, 괜히 학구적으로ㅋㅋㅋ 더 집중해서 보게되네용 +_+"
61,@sunny892923,강철원 사육사님 개인 방송 하셨으면 ㅠㅠ
62,@yoonhyeran9674,썸넬 너모 웃겨서 클릭 ㅋㅋㅋㅋ 일해야 되는뎁
63,@user-lb6rw1jw3e,귀여운 레시한테는 미안하지만 레시먹방보다바오가족먹방보니까 속이 다 후련ㅋㅋ
64,@user-ys3ry5ir7j,레시야 안녕 잘있었어  우리 예쁜 레시  더운여름 건강하게 보내  사랑한다 레시
65,@yangphrodite,"뿌집자님 이런식으로 일하면 세계최고밖에 못해,,,,♡"
66,@user-rk8qx7us2g,정말!  할부지가 들려주면 다재밌어!
67,@user-yt6fo8mb4x,강할부지닷♡♡
68,@user-dq9hf6lj6w,판다할부지 알럽~♡
69,@kim-tm5os,전옆시
70,@songsong567,에버랜드의 슈퍼스타~ 강바오님♡♡
71,@rubinell,뽀미~  푸린세스 만큼 장꾸인데 ~  귀여운  레시^^
72,@ajin7052,강바오님 나오면 무조건 눌러보게 됩니다 ㅎㅎ
73,@user-bw8zy6iz8j,
74,@user-yz8qd3qy3y,전지적옆집시점 ㅋㅋ
75,@user-jw2mt5gy3r,강바오님 .처음으로 들어왔어요.넘 행복해오.
76,@user-rr3sz6tq7d,ㅋㅋㅋ 숨은 레시 찾기 ㅋㅋㅋㅋㅋㅋ
77,@user-ur3oi5ld9k,
78,@user-ek8ve2hd5g,강바오 판다사육사하기전에 원숭이 사육사일을하셨다고하네요ㅋㅋ
79,@user-yq8qd5mr3j,뽀미 ~~이름 기억할께레시야 레몬이는 어디갔어?
80,@aseo-qv5px4eu6m,오랑우탄전용놀이동산같아요
81,@jesuslovesyou6516,以為是福寶在盪高高，仔細瞧是猩猩烏蜜啦！福寶應該也來玩一下，爺爺綁牢她就能盪了。爺爺帶福寶家的竹葉…給翠西但只看到尾巴…看不到翠西長啥模樣…猜福寶會大失所望吧…
82,@fubaolove__,뽀밐ㄱㅋㄱ우리푸만큼장꾸네여
83,@gotivetime7820,저 오랑우탄이 나보다 앞구르기를 잘하던데
84,@LEE-fl1tz,뽀미처럼 몸쓰면 디스크나 거북목이 안생기겠죠?
85,@hyeseounjang,어~~ 푸바오 할부지 왜 여기 계세요?
86,@Vidabello639,강바오할배가 저기 캡틴인가? 여기저기에서 다 보이시던데
87,@cloud_nine-ni2by,아버지의 부름에 대답하는 자식들이 없음 ㅋㅋ
88,@Down-South,No English subtitles?
